index,Año,Trimestre,Provincia,Mbps (Media de bajada)
249,2021,4,Jujuy,27,14
250,2021,4,La Pampa,13,85
251,2021,4,La Rioja,39,70
252,2021,4,Mendoza,22,23
253,2021,4,Misiones,38,90
254,2021,4,Neuquén,40,09
255,2021,4,Río Negro,27,20
256,2021,4,Salta,33,94
257,2021,4,San Juan,11,05
258,2021,4,San Luis,20,91
259,2021,4,Santa Cruz,8,99
260,2021,4,Santa Fe,36,02
261,2021,4,Santiago Del Estero,13,84
262,2021,4,Tierra Del Fuego,10,70
263,2021,4,Tucumán,45,15
264,2021,3,Buenos Aires,56,26
265,2021,3,Capital Federal,77,71
266,2021,3,Catamarca,43,43
267,2021,3,Chaco,39,11
268,2021,3,Chubut,8,18
269,2021,3,Córdoba,41,93
270,2021,3,Corrientes,32,17
271,2021,3,Entre Ríos,29,60
272,2021,3,Formosa,26,69
273,2021,3,Jujuy,25,98
274,2021,3,La Pampa,12,99
275,2021,3,La Rioja,38,87
276,2021,3,Mendoza,13,37
277,2021,3,Misiones,30,88
278,2021,3,Neuquén,38,34
279,2021,3,Río Negro,25,40
280,2021,3,Salta,31,21
281,2021,3,San Juan,7,04
282,2021,3,San Luis,21,70
283,2021,3,Santa Cruz,7,69
284,2021,3,Santa Fe,33,13
285,2021,3,Santiago Del Estero,13,35
286,2021,3,Tierra Del Fuego,9,52
287,2021,3,Tucumán,42,10
288,2021,2,Buenos Aires,52,76
289,2021,2,Capital Federal,72,75
290,2021,2,Catamarca,42,19
291,2021,2,Chaco,37,40
292,2021,2,Chubut,7,68
293,2021,2,Córdoba,39,59
294,2021,2,Corrientes,30,37
295,2021,2,Entre Ríos,27,62
296,2021,2,Formosa,23,97
297,2021,2,Jujuy,25,81
298,2021,2,La Pampa,12,28
299,2021,2,La Rioja,38,53
300,2021,2,Mendoza,13,47
301,2021,2,Misiones,28,68
302,2021,2,Neuquén,36,11
303,2021,2,Río Negro,23,75
304,2021,2,Salta,29,24
305,2021,2,San Juan,6,99
306,2021,2,San Luis,21,66
307,2021,2,Santa Cruz,7,63
