"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2021","93.3630","91.8910","93.6250","91.4250","","1.50%"
"03/01/2021","91.9800","89.7425","92.0850","89.7335","","2.40%"
"02/01/2021","89.8200","87.4505","89.8340","87.2641","","2.89%"
"01/01/2021","87.3000","84.0875","87.3300","84.0705","","3.83%"
"12/01/2020","84.0800","81.3050","84.1710","81.2220","","3.42%"
"11/01/2020","81.3000","78.2140","81.5750","78.1935","","3.80%"
"10/01/2020","78.3200","76.1800","78.3570","76.0690","","2.82%"
"09/01/2020","76.1700","74.1310","76.1800","74.1310","","2.90%"
"08/01/2020","74.0220","72.2495","74.1975","72.1900","","2.37%"
"07/01/2020","72.3100","70.4600","72.3230","70.3895","","2.85%"
"06/01/2020","70.3090","68.4785","70.4700","68.4345","","2.81%"
"05/01/2020","68.3890","66.7720","68.5470","66.0300","","2.42%"
"04/01/2020","66.7700","64.3500","66.8505","64.1600","","4.00%"
"03/01/2020","64.2040","62.1250","64.5638","62.0990","","3.35%"
"02/01/2020","62.1200","59.9880","62.3438","59.9880","","3.07%"
"01/01/2020","60.2700","59.8190","60.3665","59.6245","","0.68%"
"12/01/2019","59.8600","59.8410","60.2425","59.5840","","-0.08%"
"11/01/2019","59.9100","59.5685","59.9650","59.3890","","0.59%"
"10/01/2019","59.5600","57.5850","63.5166","57.4925","","3.42%"
"09/01/2019","57.5900","59.5000","60.5000","53.7373","","-3.20%"
"08/01/2019","59.4955","43.8185","63.5127","43.8185","","35.79%"
"07/01/2019","43.8155","42.4715","43.9695","41.4700","","3.17%"
"06/01/2019","42.4700","44.7500","45.1762","42.0975","","-4.96%"
"05/01/2019","44.6850","44.2800","45.8650","44.1800","","1.00%"
"04/01/2019","44.2420","43.3575","46.5050","41.2750","","2.22%"
"03/01/2019","43.2810","39.1195","43.9650","39.0850","","10.72%"
"02/01/2019","39.0910","37.3010","40.7250","36.8450","","4.89%"
"01/01/2019","37.2690","37.6550","38.3100","36.7000","","-0.93%"
"12/01/2018","37.6190","37.2750","38.8250","36.3250","","-0.23%"
"11/01/2018","37.7060","35.8915","39.3000","35.1750","","5.06%"
"10/01/2018","35.8900","41.3250","41.3400","35.4100","","-13.06%"
"09/01/2018","41.2800","37.2500","41.7500","36.1027","","12.17%"
"08/01/2018","36.8000","27.6000","41.7500","27.0800","","34.36%"
"07/01/2018","27.3890","28.9365","29.0400","27.0200","","-5.17%"
"06/01/2018","28.8810","24.9610","29.6900","24.8375","","15.80%"
"05/01/2018","24.9410","20.5150","25.0350","20.5150","","21.59%"
"04/01/2018","20.5130","20.1150","20.9350","20.0775","","2.00%"
"03/01/2018","20.1100","20.1950","20.4500","20.0750","","0.00%"
"02/01/2018","20.1100","19.5650","20.2800","19.3300","","2.45%"
"01/01/2018","19.6300","18.6400","19.7100","18.3250","","5.57%"
"12/01/2017","18.5940","17.3050","19.1800","17.1900","","7.48%"
"11/01/2017","17.3000","17.6350","17.7200","17.2750","","-1.87%"
"10/01/2017","17.6300","17.2875","17.7800","17.2350","","1.97%"
"09/01/2017","17.2890","17.2800","17.6850","16.9545","","-0.18%"
"08/01/2017","17.3200","17.6500","17.8550","17.0070","","-1.81%"
"07/01/2017","17.6400","16.7650","17.8025","16.7450","","6.23%"
"06/01/2017","16.6060","16.0950","16.6575","15.8250","","3.29%"
"05/01/2017","16.0770","15.3885","16.1898","15.2250","","4.57%"
"04/01/2017","15.3750","15.3805","15.5200","15.1225","","0.05%"
"03/01/2017","15.3670","15.4700","15.7505","15.3200","","-0.67%"
"02/01/2017","15.4700","15.9050","15.9055","15.3300","","-2.69%"
"01/01/2017","15.8970","15.8775","16.1375","15.7350","","0.27%"
"12/01/2016","15.8540","15.8500","16.1195","15.4650","","0.01%"
"11/01/2016","15.8520","15.1600","16.0200","14.8550","","4.70%"
"10/01/2016","15.1400","15.2700","15.3200","15.0300","","-1.34%"
"09/01/2016","15.3450","14.9338","15.4400","14.8350","","2.87%"
"08/01/2016","14.9175","15.0010","15.1587","14.6100","","-0.47%"
"07/01/2016","14.9880","15.0850","15.3125","14.5510","","-0.25%"
"06/01/2016","15.0250","13.9830","15.4000","13.7200","","7.54%"
"05/01/2016","13.9720","14.2850","14.4000","13.9050","","-2.16%"
"04/01/2016","14.2800","14.7000","14.8650","13.9500","","-2.78%"
"03/01/2016","14.6890","15.8200","15.9738","14.1100","","-7.12%"
"02/01/2016","15.8150","13.8981","15.8400","13.8925","","13.88%"
"01/01/2016","13.8869","12.9369","14.0535","12.9084","","7.35%"
"12/01/2015","12.9359","9.7055","13.9500","9.6685","","33.93%"
"11/01/2015","9.6584","9.5210","9.7295","9.4015","","1.50%"
"10/01/2015","9.5154","9.4256","9.5450","9.3289","","0.99%"
"09/01/2015","9.4217","9.2991","9.4307","9.2893","","1.34%"
"08/01/2015","9.2967","9.1984","9.3067","9.1847","","1.12%"
"07/01/2015","9.1935","9.1004","9.2074","9.0788","","1.06%"
"06/01/2015","9.0967","9.0034","9.1137","8.9893","","1.06%"
"05/01/2015","9.0015","8.9185","9.0159","8.9035","","0.94%"
"04/01/2015","8.9179","8.8184","8.9236","8.8132","","1.16%"
"03/01/2015","8.8155","8.7195","8.8249","8.7195","","1.10%"
"02/01/2015","8.7200","8.6330","8.7262","8.6330","","1.02%"
"01/01/2015","8.6320","8.5525","8.6825","8.5475","","1.07%"
"12/01/2014","8.5402","8.5280","8.5975","8.5230","","0.15%"
"11/01/2014","8.5270","8.5030","8.5300","8.5005","","0.29%"
"10/01/2014","8.5020","8.4305","8.5065","8.4245","","0.85%"
"09/01/2014","8.4300","8.3920","8.4963","8.3865","","0.35%"
"08/01/2014","8.4003","8.2130","8.4400","8.2122","","2.29%"
"07/01/2014","8.2125","8.1312","8.2660","8.1305","","1.01%"
"06/01/2014","8.1305","8.0775","8.1525","8.0763","","0.67%"
"05/01/2014","8.0760","8.0007","8.0900","7.9995","","0.95%"
"04/01/2014","7.9998","8.0008","8.0138","7.9940","","0.00%"
"03/01/2014","8.0000","7.8855","8.0350","7.8550","","1.46%"
"02/01/2014","7.8845","8.0187","8.0700","7.7490","","-1.66%"
"01/01/2014","8.0178","6.5205","8.2150","6.5205","","23.03%"
